baricenter: (-0.0034999999999999654, -0.008499999999999966, 0.0)
TIME 0.001880, pos: -3.224672e-03 -8.505390e-03, Found 4146
baricenter: (-0.0034999999999999654, -0.008499999999999966, 0.0)
TIME 0.001890, pos: -2.796772e-03 -8.659713e-03, Found 4147
baricenter: (-0.0024999999999999654, -0.008499999999999966, 0.0)
TIME 0.001900, pos: -2.361504e-03 -8.792514e-03, Found 4147
baricenter: (-0.0024999999999999654, -0.008499999999999966, 0.0)
TIME 0.001910, pos: -1.919949e-03 -8.903441e-03, Found 4148
baricenter: (-0.0014999999999999653, -0.008499999999999966, 0.0)
TIME 0.001920, pos: -1.473206e-03 -8.992198e-03, Found 4148
baricenter: (-0.0014999999999999653, -0.008499999999999966, 0.0)
TIME 0.001930, pos: -1.022389e-03 -9.058543e-03, Found 4048
baricenter: (-0.0014999999999999653, -0.009499999999999967, 0.0)
TIME 0.001940, pos: -5.686207e-04 -9.102292e-03, Found 4049
baricenter: (-0.0004999999999999653, -0.009499999999999967, 0.0)
TIME 0.001950, pos: -1.130343e-04 -9.123314e-03, Found 4049
baricenter: (-0.0004999999999999653, -0.009499999999999967, 0.0)
TIME 0.001960, pos: 3.432322e-04 -9.121538e-03, Found 4050
baricenter: (0.0005000000000000347, -0.009499999999999967, 0.0)
TIME 0.001970, pos: 7.990383e-04 -9.096947e-03, Found 4050
baricenter: (0.0005000000000000347, -0.009499999999999967, 0.0)
TIME 0.001980, pos: 1.253243e-03 -9.049584e-03, Found 4051
baricenter: (0.0015000000000000347, -0.009499999999999967, 0.0)
TIME 0.001990, pos: 1.704710e-03 -8.979548e-03, Found 4151
baricenter: (0.0015000000000000347, -0.008499999999999966, 0.0)
TIME 0.002000, pos: 2.152306e-03 -8.886993e-03, Found 4152
baricenter: (0.0025000000000000347, -0.008499999999999966, 0.0)
TIME 0.002010, pos: 2.594910e-03 -8.772131e-03, Found 4152
baricenter: (0.0025000000000000347, -0.008499999999999966, 0.0)
TIME 0.002020, pos: 3.031409e-03 -8.635231e-03, Found 4153
baricenter: (0.0035000000000000343, -0.008499999999999966, 0.0)
